ITEM,CATEGORY,AVAILABLE,PRICE,STATUS,PRODUCER,TITLE SPANISH,UNIT QUANTITY,UNIT,SCHEDULES,SEASON,IS CREDIT,PACKING TYPE,MAX PER MEMBER,IMAGE URL,DESCRIPTION,LINK
Z-Delivered - Trust,Share,75,37.00,Draft,Yellow Dog Farms,,6.5,credits,Weekly Shares,Combined CSA,true,NONE,75,http://staticResource/resources/item-no-image.jpg,,
x- FSB/FSE,Share,200,59.58,Draft,All Fair Shares Producers,,40.5,credits,"Half Share - EVEN week, Half Share - ODD week",Combined CSA,true,NONE,5,http://staticResource/resources/item-no-image.jpg,,
x-FSE - EVEN weeks,Share,100,58.00,Draft,Yellow Dog Farms,,29.5,credits,Half Share - EVEN week,Combined CSA,true,NONE,10,http://staticResource/resources/item-no-image.jpg,,
z- Mercy Hospital South,Share,300,38.30,Draft,All Fair Shares Producers,,35.0,credits,Weekly Shares,Combined CSA,true,NONE,10,https://storage.googleapis.com/farmigo-images/1/6109270751051776/s/1645635526644.jpg?v=1645635527218,"A Mini Share with $35 of local food. Fresh produce is not tradable, but all non-produce items may be deleted from your cart so you may select other items from the store to replace the tradable value (you must spend the trade credits, but you may purchase additional, which will be reflected as ""Extra Credit"").",
z-Delivered - Arcturis,Share,75,37.00,Draft,Yellow Dog Farms,,1.0,share,Weekly Shares,Combined CSA,false,NONE,75,http://staticResource/resources/item-no-image.jpg,,
z-Delivered - Christner,Share,100,37.00,Draft,Yellow Dog Farms,,0.0,credits,Weekly Shares,Combined CSA,true,NONE,10,https://fairshares.org/sites/default/files/MiniShare.tn__1.jpg,,
z-Delivered - Jeff,Share,100,37.00,Draft,Yellow Dog Farms,,6.5,credits,Weekly Shares,Combined CSA,true,NONE,10,http://staticResource/resources/item-no-image.jpg,,
z-Delivered - New City,Share,75,37.00,Draft,Yellow Dog Farms,,6.5,credits,Weekly Shares,Combined CSA,true,NONE,75,http://staticResource/resources/item-no-image.jpg,,
z-FSD,Share,100,54.00,Draft,Yellow Dog Farms,,26.0,credits,Weekly Shares,Combined CSA,true,NONE,10,https://fairshares.org/sites/default/files/FSshare1.web__3.jpg,,
z-FSM - Thursday,Share,100,37.00,Draft,Yellow Dog Farms,,6.5,credits,Weekly Shares,Combined CSA,true,NONE,10,http://staticResource/resources/item-no-image.jpg,,
z-FSM - Wednesday,Share,100,0.00,Draft,Yellow Dog Farms,,0.0,credits,Weekly Shares,Combined CSA,true,NONE,10,http://staticResource/resources/item-no-image.jpg,,
z-KWA,Share,100,54.00,Draft,Yellow Dog Farms,,23.75,credits,Weekly Shares,Combined CSA,true,NONE,10,https://fairshares.org/sites/default/files/FSshare1.web__3.jpg,,
z-KWM,Share,100,37.00,Draft,Yellow Dog Farms,,6.5,credits,Weekly Shares,Combined CSA,true,NONE,100,http://staticResource/resources/item-no-image.jpg,,
z-UCM,Share,100,37.00,Draft,Yellow Dog Farms,,6.5,credits,Weekly Shares,Combined CSA,true,NONE,10,http://staticResource/resources/item-no-image.jpg,,
zDry Dock Eggs,Option,999999,5.05,Draft,Dry Dock Farm,,1.0,dozen,"Half Share - ODD week, Half Share - EVEN week",Combined CSA,false,PHYSICAL,12,http://,Standing order for a dozen Dry Dock eggs,
zDry Dock Eggs-wkly,Option,900,5.05,Draft,Dry Dock Farm,,1.0,dozen,Weekly Shares,Combined CSA,false,PHYSICAL,3,http://,,
zFSB/FSE - ODD weeks,Share,100,58.00,Draft,Yellow Dog Farms,,22.5,credits,Half Share - ODD week,Combined CSA,true,NONE,10,http://staticResource/resources/item-no-image.jpg,,
zFSE - ODD weeks,Share,100,58.00,Draft,Yellow Dog Farms,,22.5,credits,Half Share - ODD week,Combined CSA,true,NONE,10,http://staticResource/resources/item-no-image.jpg,,
zKWB - EVEN weeks,Share,100,58.00,Draft,Yellow Dog Farms,,23.5,credits,Half Share - EVEN week,Combined CSA,true,NONE,10,http://staticResource/resources/item-no-image.jpg,,
zKWB - ODD weeks,Share,100,58.00,Draft,Yellow Dog Farms,,22.5,credits,Half Share - ODD week,Combined CSA,true,NONE,10,http://staticResource/resources/item-no-image.jpg,,
zUCB/KWB - ODD weeks,Share,100,58.00,Draft,Yellow Dog Farms,,22.5,credits,Half Share - ODD week,Combined CSA,true,NONE,10,http://staticResource/resources/item-no-image.jpg,,
