"date_time","season_payments","type","date_of_payment","amount","notes","file_date","member_id"
"9/3/2026 17:26","Combined CSA","Complimentary","3-Sep-26",0,"WK 19: returned 1 jar, deducted extras",2026-09-11,31
"9/2/2026 10:23","Combined CSA","Complimentary","2-Sep-26",3,"wk 19 credit error",2026-09-11,1746
"9/4/2026 3:42","Combined CSA","Credit Card","4-Sep-26",150,NA,2026-09-11,722
"9/11/2026 3:42","Combined CSA","Credit Card","11-Sep-26",150,NA,2026-09-11,1453
"9/3/2026 16:53","Combined CSA","Complimentary","3-Sep-26",0,"WK 19: returned 1 jar, deducted extras",2026-09-11,1453
"9/10/2026 3:45","Combined CSA","Credit Card","10-Sep-26",150,NA,2026-09-11,178
"9/10/2026 3:45","Combined CSA","Credit Card","10-Sep-26",150,NA,2026-09-11,136
"9/11/2026 3:42","Combined CSA","Credit Card","11-Sep-26",150,NA,2026-09-11,1440
"9/3/2026 17:36","Combined CSA","Credit Card","3-Sep-26",0,"WK 19: credit 2 bags mealy peaches",2026-09-11,963
"9/4/2026 3:42","Combined CSA","Credit Card","4-Sep-26",150,NA,2026-09-11,1102
"9/4/2026 3:42","Combined CSA","Credit Card","4-Sep-26",600,NA,2026-09-11,1217
"9/11/2026 3:42","Combined CSA","Credit Card","11-Sep-26",300,NA,2026-09-11,928
"9/3/2026 16:51","Combined CSA","Complimentary","3-Sep-26",5,"WK 19: returned 2 jars, deducted extras",2026-09-11,636
"9/4/2026 3:42","Combined CSA","Credit Card","4-Sep-26",30.639404,NA,2026-09-11,1910
"9/10/2026 3:45","Combined CSA","Credit Card","10-Sep-26",300,NA,2026-09-11,863
"9/10/2026 3:45","Combined CSA","Credit Card","10-Sep-26",150,NA,2026-09-11,704
"9/4/2026 3:42","Combined CSA","Credit Card","4-Sep-26",150,NA,2026-09-11,896
"9/2/2026 10:07","Combined CSA","Complimentary","2-Sep-26",4,"credit error wk19",2026-09-11,896
"9/2/2026 10:24","Combined CSA","Complimentary","2-Sep-26",3.25,NA,2026-09-11,1048
"9/4/2026 3:42","Combined CSA","Credit Card","4-Sep-26",150,NA,2026-09-11,192
"9/10/2026 15:23","Combined CSA","Complimentary","10-Sep-26",1.5,"WK 20: returned 2 jars, deducted from extras",2026-09-11,192
"9/4/2026 3:42","Combined CSA","Credit Card","4-Sep-26",150,NA,2026-09-11,1752
"9/4/2026 3:42","Combined CSA","Credit Card","4-Sep-26",150,NA,2026-09-11,1047
"9/4/2026 3:42","Combined CSA","Credit Card","4-Sep-26",300,NA,2026-09-11,1622
"9/3/2026 3:45","Combined CSA","Credit Card","3-Sep-26",150,NA,2026-09-11,1489
"9/2/2026 10:04","Combined CSA","Complimentary","2-Sep-26",2.25,"credit error",2026-09-11,1489
"9/11/2026 3:42","Combined CSA","Credit Card","11-Sep-26",150,NA,2026-09-11,501
"9/3/2026 3:45","Combined CSA","Credit Card","3-Sep-26",300,NA,2026-09-11,282
"9/10/2026 3:45","Combined CSA","Credit Card","10-Sep-26",150,NA,2026-09-11,145
"9/10/2026 3:45","Combined CSA","Credit Card","10-Sep-26",300,NA,2026-09-11,712
"9/11/2026 3:42","Combined CSA","Credit Card","11-Sep-26",39.90039,NA,2026-09-11,1545
"9/10/2026 3:45","Combined CSA","Credit Card","10-Sep-26",150,NA,2026-09-11,554
"9/3/2026 3:45","Combined CSA","Credit Card","3-Sep-26",76.93002,NA,2026-09-11,391
"9/10/2026 3:45","Combined CSA","Credit Card","10-Sep-26",53.19995,NA,2026-09-11,391
"9/3/2026 3:45","Combined CSA","Credit Card","3-Sep-26",150,NA,2026-09-11,543
"9/11/2026 3:42","Combined CSA","Credit Card","11-Sep-26",300,NA,2026-09-11,22
"9/10/2026 3:45","Combined CSA","Credit Card","10-Sep-26",150,NA,2026-09-11,883
"9/10/2026 3:45","Combined CSA","Credit Card","10-Sep-26",300,NA,2026-09-11,1923
"9/11/2026 3:42","Combined CSA","Credit Card","11-Sep-26",87.240234,NA,2026-09-11,615
"9/10/2026 3:45","Combined CSA","Credit Card","10-Sep-26",150,NA,2026-09-11,544
"9/3/2026 3:45","Combined CSA","Credit Card","3-Sep-26",300,NA,2026-09-11,1932
