"date_time","season","type","date_of_payment","amount","notes","file_date","member_id"
"2025/08/20 18:18","Combined CSA","Complimentary","Aug 20, 2025",0,"WK 21: returned 2 jars, deducted extras",2025-08-29,31
"2025/08/28 17:50","Combined CSA","Complimentary","Aug 28, 2025",0,"wk 22 returned 1 jar, deducted from purchases.",2025-08-29,31
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",300,NA,2025-08-29,1846
"2025/08/22 03:42","Combined CSA","Credit Card","Aug 22, 2025",300,NA,2025-08-29,900
"2025/08/21 19:30","Combined CSA","Complimentary","Aug 21, 2025",0,"WK 21: returned 1 jar, deducted extras",2025-08-29,900
"2025/08/21 15:30","Combined CSA","Complimentary","Aug 21, 2025",0,"WK 21: returned 1 jar, deducted extras",2025-08-29,900
"2025/08/22 03:42","Combined CSA","Credit Card","Aug 22, 2025",150,NA,2025-08-29,722
"2025/08/20 17:13","Combined CSA","Complimentary","Aug 20, 2025",2.95,"WK 21: returned 1 jar, plus diff",2025-08-29,1453
"2025/08/28 03:44","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-08-29,482
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",300,NA,2025-08-29,859
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",115.19922,NA,2025-08-29,178
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-08-29,1440
"2025/08/22 03:43","Combined CSA","Credit Card","Aug 22, 2025",300,NA,2025-08-29,1102
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",300,NA,2025-08-29,421
"2025/08/27 17:30","Combined CSA","Complimentary","Aug 27, 2025",0,"WK 22: returned 2 jars, deducted extras",2025-08-29,325
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-08-29,1474
"2025/08/21 19:55","Combined CSA","Complimentary","Aug 21, 2025",0.81,"WK 21:strip steak less than a pound",2025-08-29,896
"2025/08/27 19:27","Combined CSA","Complimentary","Aug 27, 2025",6.75,"WK 22: returned 3 jars, deducted extras",2025-08-29,322
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-08-29,371
"2025/08/22 03:42","Combined CSA","Credit Card","Aug 22, 2025",300,NA,2025-08-29,192
"2025/08/28 16:58","Combined CSA","Complimentary","Aug 28, 2025",4.9,"WK 22 returned 2 jars , deducted extras",2025-08-29,192
"2025/08/22 03:43","Combined CSA","Credit Card","Aug 22, 2025",150,NA,2025-08-29,1525
"2025/08/21 19:50","Combined CSA","Complimentary","Aug 21, 2025",0.5,"WK 21: .98 tenderloin",2025-08-29,1525
"2025/08/22 12:20","Combined CSA","Fee","Aug 22, 2025",-32.98,"WK 21: shopping",2025-08-29,603
"2025/08/22 03:43","Combined CSA","Credit Card","Aug 22, 2025",150,NA,2025-08-29,701
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",300,NA,2025-08-29,718
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-08-29,1614
"2025/08/21 19:42","Combined CSA","Fee","Aug 21, 2025",-1.6,"WK 21: 1 lolli",2025-08-29,1393
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",600,NA,2025-08-29,366
"2025/08/28 16:02","Combined CSA","Complimentary","Aug 28, 2025",0,"WK 22: returned 2 jars, deducted extras",2025-08-29,22
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",300,NA,2025-08-29,337
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-08-29,883
"2025/08/27 17:49","Combined CSA","Complimentary","Aug 27, 2025",13.5,"WK 22: people bag given to someone else, deducted AB jam & bada bing",2025-08-29,1889
"2025/08/22 03:43","Combined CSA","Credit Card","Aug 22, 2025",150,NA,2025-08-29,1871
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",150,NA,2025-08-29,1045
"2025/08/21 19:32","Combined CSA","Complimentary","Aug 21, 2025",0,"WK 21: returned 3 jars, deducted extras",2025-08-29,364
"2025/08/28 19:04","Combined CSA","Complimentary","Aug 28, 2025",0,"WK 22 returned 1 jar, deducted extras",2025-08-29,364
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",600,NA,2025-08-29,588
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-08-29,30
"2025/08/22 03:42","Combined CSA","Credit Card","Aug 22, 2025",150,NA,2025-08-29,1706
"2025/08/18 03:38","Combined CSA","Credit Card","Aug 18, 2025",1000,NA,2025-08-29,1132
"2025/08/18 03:38","Combined CSA","Complimentary","Aug 18, 2025",15,NA,2025-08-29,1132
"2025/08/22 03:43","Combined CSA","Credit Card","Aug 22, 2025",300,NA,2025-08-29,1766
"2025/08/22 03:43","Combined CSA","Credit Card","Aug 22, 2025",67.299805,NA,2025-08-29,1408
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",64.899414,NA,2025-08-29,1408
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-08-29,1145
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-08-29,1353
"2025/08/28 17:56","Combined CSA","Complimentary","Aug 28, 2025",0,"returned6 jars, deducted from purchases.",2025-08-29,1353
"2025/08/22 03:42","Combined CSA","Credit Card","Aug 22, 2025",150,NA,2025-08-29,242
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",1000,NA,2025-08-29,1380
"2025/08/28 03:45","Combined CSA","Complimentary","Aug 28, 2025",15,NA,2025-08-29,1380
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-08-29,637
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",300,NA,2025-08-29,814
"2025/08/27 19:41","Combined CSA","Complimentary","Aug 27, 2025",3.54,"WK 22: returned 3 jars, deducted extras",2025-08-29,814
"2025/08/28 19:14","Combined CSA","Fee","Aug 28, 2025",-7.71,"WK 22 mmpie",2025-08-29,346
"2025/08/20 18:32","Combined CSA","Complimentary","Aug 20, 2025",0,"WK 21: returned 1 jar, deducted extras",2025-08-29,1355
"2025/08/22 13:41","Combined CSA","Fee","Aug 22, 2025",-7.45,"WK 21: SF red cherry jam",2025-08-29,370
"2025/08/22 03:42","Combined CSA","Credit Card","Aug 22, 2025",68.88965,NA,2025-08-29,327
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",1000,NA,2025-08-29,1627
"2025/08/21 03:44","Combined CSA","Complimentary","Aug 21, 2025",15,NA,2025-08-29,1627
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",55.589844,NA,2025-08-29,1185
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-08-29,135
"2025/08/28 17:08","Combined CSA","Complimentary","Aug 28, 2025",7.5,"WK 22 returned 3 jar",2025-08-29,135
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-08-29,1313
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",1500,NA,2025-08-29,549
"2025/08/28 03:45","Combined CSA","Complimentary","Aug 28, 2025",25,NA,2025-08-29,549
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-08-29,670
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",150,NA,2025-08-29,627
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-08-29,1903
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-08-29,1863
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",150,NA,2025-08-29,190
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-08-29,356
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-08-29,1873
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-08-29,659
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-08-29,700
"2025/08/28 16:05","Combined CSA","Complimentary","Aug 28, 2025",7.5,"WK 22: returned 3 jar",2025-08-29,700
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-08-29,390
"2025/08/27 17:31","Combined CSA","Complimentary","Aug 27, 2025",0,"WK 22: returned 1 jar, deducted extras",2025-08-29,390
"2025/08/22 03:43","Combined CSA","Credit Card","Aug 22, 2025",150,NA,2025-08-29,1879
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-08-29,1162
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-08-29,797
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-08-29,1126
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-08-29,1789
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",78.9397,NA,2025-08-29,216
"2025/08/28 03:44","Combined CSA","Credit Card","Aug 28, 2025",53.67041,NA,2025-08-29,216
"2025/08/22 03:43","Combined CSA","Credit Card","Aug 22, 2025",1000,NA,2025-08-29,744
"2025/08/22 03:43","Combined CSA","Complimentary","Aug 22, 2025",15,NA,2025-08-29,744
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-08-29,904
"2025/08/22 03:42","Combined CSA","Credit Card","Aug 22, 2025",150,NA,2025-08-29,1416
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-08-29,959
"2025/08/28 18:08","Combined CSA","Complimentary","Aug 28, 2025",0,"wk 22 returned 2 jars, deducted.",2025-08-29,959
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",600,NA,2025-08-29,1543
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-08-29,941
"2025/08/22 03:42","Combined CSA","Credit Card","Aug 22, 2025",150,NA,2025-08-29,1156
"2025/08/22 03:42","Combined CSA","Credit Card","Aug 22, 2025",300,NA,2025-08-29,1206
"2025/08/22 03:43","Combined CSA","Credit Card","Aug 22, 2025",300,NA,2025-08-29,182
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-08-29,608
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-08-29,463
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-08-29,1970
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-08-29,1383
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",300,NA,2025-08-29,1427
"2025/08/20 19:22","Combined CSA","Complimentary","Aug 20, 2025",2.5,"WK 21: returned 1 jar",2025-08-29,225
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",150,NA,2025-08-29,197
"2025/08/22 03:43","Combined CSA","Credit Card","Aug 22, 2025",150,NA,2025-08-29,605
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-08-29,605
"2025/08/20 19:14","Combined CSA","Complimentary","Aug 20, 2025",3.77,"wk 21 returned 1 jar, left chocolate square in bag",2025-08-29,373
"2025/08/25 03:37","Combined CSA","Credit Card","Aug 25, 2025",150,NA,2025-08-29,330
"2025/08/26 03:39","Combined CSA","Credit Card","Aug 26, 2025",150,NA,2025-08-29,330
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",300,NA,2025-08-29,1572
"2025/08/21 18:50","Combined CSA","Complimentary","Aug 21, 2025",1.75,"WK 21: returned 1 jar, deducted extras",2025-08-29,289
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-08-29,34
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-08-29,1708
"2025/08/28 18:11","Combined CSA","Complimentary","Aug 28, 2025",0,"week 22 returned 5 jars, deducted from purchases.",2025-08-29,1708
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-08-29,493
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-08-29,473
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",150,NA,2025-08-29,1707
"2025/08/21 19:22","Combined CSA","Complimentary","Aug 21, 2025",0,"WK 21: no garlic in her bag",2025-08-29,1236
"2025/08/22 03:43","Combined CSA","Credit Card","Aug 22, 2025",300,NA,2025-08-29,279
"2025/08/22 03:42","Combined CSA","Credit Card","Aug 22, 2025",150,NA,2025-08-29,1725
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-08-29,1725
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",150,NA,2025-08-29,262
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",300,NA,2025-08-29,598
"2025/08/22 03:42","Combined CSA","Credit Card","Aug 22, 2025",150,NA,2025-08-29,281
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",300,NA,2025-08-29,520
"2025/08/20 19:23","Combined CSA","Complimentary","Aug 20, 2025",0,"WK 21: returned 1 jar, deducted extras",2025-08-29,520
"2025/08/27 19:29","Combined CSA","Complimentary","Aug 27, 2025",0,"WK 22: returned 1 jar, deducted extras",2025-08-29,520
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",300,NA,2025-08-29,810
"2025/08/20 16:45","Combined CSA","Complimentary","Aug 20, 2025",0,"WK 21: returned 1 jar, deducted extras",2025-08-29,810
"2025/08/27 17:42","Combined CSA","Complimentary","Aug 27, 2025",0,"WK 22: returned 1 jar, deducted extras",2025-08-29,810
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",8.490234,NA,2025-08-29,1424
"2025/08/28 03:44","Combined CSA","Credit Card","Aug 28, 2025",300,NA,2025-08-29,1559
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",1000,NA,2025-08-29,125
"2025/08/28 03:45","Combined CSA","Complimentary","Aug 28, 2025",15,NA,2025-08-29,125
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-08-29,1521
"2025/08/21 03:44","Combined CSA","Credit Card","Aug 21, 2025",150,NA,2025-08-29,1111
